subset_id,model,label,Dice,IoU,Sensitivity,Precision,Specificity,D95,ASSD
12,RWKV_fd_loss,1,0.7907294568051308,0.6783454358942311,0.8846292222671371,0.7469360940351045,0.9945928340165897,19.12785202405587,4.580760571407079
12,UNet3D,1,0.8574001714396594,0.7602725777849895,0.8745218411963951,0.8568871535153966,0.9980739712415797,7.354463393214277,1.656423767391423
13,BANet,1,0.8539837381103667,0.7683696484930456,0.8625704619165349,0.8547420888607202,0.9982029237194627,9.907712446886661,3.179312241715091
13,BGHNetV4,1,0.827960991313662,0.7397227099265613,0.8816348648448853,0.8087079730951675,0.9957507174683569,13.551191031326326,3.6349596954898686
13,MedNeXt,1,0.8095598197507972,0.7146266273106235,0.8816153378693616,0.7758642895048389,0.9948700772656658,19.49412746492582,4.883195822573504
13,nnUNet,1,0.8543399638766394,0.7676876495305749,0.8596402634525321,0.8592125555281921,0.9981792541057555,9.496191672595192,2.4693704658871014
13,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
13,RWKV_fd,1,0.7646157967621076,0.6575200222688441,0.8734113280963711,0.7166276849580628,0.9917498668995661,25.47609023687711,6.558139749488035
13,RWKV_fd_loss,1,0.7763034107310742,0.6709998319793804,0.8677253852791361,0.732852865870276,0.9933958389119759,22.49874371368889,5.603455386829417
13,UNet3D,1,0.8523624842388455,0.7634471832853846,0.8637474874441156,0.8516350555254174,0.9984699424800741,7.814353312639961,1.9484409325131509
14,BANet,1,0.850177978280129,0.7575506974947512,0.8946916831263056,0.8328165887769652,0.9964566390470233,8.508143461243156,1.9810610467645602
14,BGHNetV4,1,0.82340453331452,0.7295827517759491,0.9091069390845045,0.791464754069356,0.9941483648043355,12.432536322989565,3.3634830278124825
14,MedNeXt,1,0.8184898795813431,0.7180383942090905,0.9053607219362103,0.7750817989269785,0.9939903470210318,15.305660365164465,3.985108343173829
14,nnUNet,1,0.8574265920747074,0.7657626822651068,0.8920955434799602,0.8462452984336253,0.9970827466825336,7.940170889775478,1.9672020574094957
14,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
14,RWKV_fd,1,0.7556739897030428,0.637566049357104,0.8891319375646314,0.6967853776958132,0.990222266042075,25.510075906483543,6.079338768989868
14,RWKV_fd_loss,1,0.7814398579917555,0.6694835853376824,0.888996673983421,0.7301718160767143,0.9915183000820227,17.070613712765457,4.387695079375452
14,UNet3D,1,0.8529824446684267,0.7566841263838111,0.8840869833422348,0.8468479683066755,0.9972056530724135,7.791666702104033,1.8333628415577539
